title,city,province,price_start,price_end,price_interval,price_currency,description,date,expertise,type,functions,sectors,portal
promotor vendedor excelentes ingresos ,Tarragona,Tarragona,1500,,monthly,euro,importante empresa  prestigiosa líder españa necesita personas cargo promotores vendedores trabajo formato teletrabajo chile únicamente mejores promotores vendedores internet  facebook instagram  ¿tiene tienda facebook  ¿tiene propia pagina facebook  ¿sabes diseño grafico  photoshop   ¿sabes administrar marketplace facebook  ¿sabes publicar ofertas facebook  ¿sabes hacer videos  ¿cuantos contactos facebook  ¿cuantos seguidores instagram   excluente  cuantos grupos compra venta facebook perteneces   excluyente  ¿sabes administrar rrss tienda facebbok instagram  ¿tiene habilidades organización autogestiónn entrega gestión despacho clientes  18 años adelante ganancias €1500 €4000y según actitud desempeño  ofrece increíbles comisiones  premios incentivos permanentes cumplimientos metas  trabajo estable año  además pertenecer mejor equipo distribuidores españa  postulantes deben contar disponibilidad inmediata ,2020-10-23,,,,,indeed
senior devops engineer,Madrid,Madrid,,,,euro,company description nexthink global leader digital employee experience management  products allow enterprises create highly productive digital workplaces employees delivering optimal end user experiences  unique combination real time analytics  automation employee feedback  nexthink gives teams insight need empower even delight people work  headquartered switzerland us headquarters boston  nexthink also offices france  uk  germany  spain uae  growing team nexthinkers proud making digital work lives nearly ten million employees across 1 000 customers productive  nexthink  believe actions stronger words comes diversity  inclusivity  equity workplace  nexthinkers multinational multilingual  come walks life  committed hiring genuinely representative workforce create solutions foster innovation modern digital employee experience  join us today  job description looking highly skilled motivated professional collaborate engineering  qa  product  support staff manage code releases  implement new development testing processes ensure deliver best in class quality software clients  unique career opportunity  nexthink building cloud platform  ’ part responsible setting deployment automation well continuous integration  testing delivery  also responsible setting release monitoring tools ensure product goes live time  required quality  ensuring security compliance without disrupting service  responsibilities responsible release process  guaranteeing releases meet quality standards deploying new versions product implementing continuous delivery  infrastructure code  virtualization high availability implementing improving tooling  technologies processes support automation configuration builds  deployment testing infrastructures  jenkins pipelines  docker  kubernetes  packer  terraform  ansible  able build vision  create plan help technical,2020-10-23,,,,,indeed
teletrabajo experiencia sb,Madrid,Madrid,,,,euro,actividad independiente dedicación flexible tiempo parcial completo  compatible cualquier actividad académica profesional desarrollo profesional dentro sector máximo crecimiento dentro campo nutrición bienestar  necesidad experiencia  aunque valorará   si considera persona actitud positiva  emprendedora ganas mejorar aquí oportunidad  extra tiempo parcial posibilidad independencia económica  siempre función trabajo dedicación  requiere capacidad asumir responsabilidades  ser mayor edad  ganas aprender,2020-10-23,,,,,indeed
analistas arquitectos node js y o angular,Madrid,Madrid,,,,euro,descripción empresa cliente empresa editorial  líder sector psicometría  psicología  psicopedagogía logopedia  actualmente cuenta líneas productos propios centro desarrollo innovación i d i  cuenta igualmente gabinete psicopedagogía importante país  proyección internacional  hispanoamérica  cientos colegios asesorados orientadores apoyados técnica instrumentalmente equipo expertos  si persona entusiasta  emprendedora  amante nuevas soluciones tecnológicas basadas software  si gusta programación nuevos retos  metas profesionales trabajar crecer gusta hacer  duda alguna  proyecto  ¡danos oportunidad conocerte anímate conocernos  descripción empleo precisamos incorporar equipo i d i cliente tres personas siguientes perfiles experiencia  arquitectos software  analistas programadores senior dos arquitectos y o analistas experiencia profesional parte backend nodejs  arquitecto analista parte frontend angular  react  desarrollos distintos proyectos innovación tecnológica entornos multimedia innovadores clientes internacionales mucha visibilidad miles usuarios únicos mensuales  sitios trabajo  teletrabajo  centro  zona cuatro caminos  competencias experiencia adicional requeridas y o valoradas  3 años experiencia siguientes tecnologías  node js o y angular api rest restful agile requisitos valorables  react js vue js scrum nivel alto inglés responsabilidades  ocupará definir arquitectura  participar análisis diseño  gestionar técnicamente distintos proyectos  responsable análisis implementaciones distintos proyectos  beneficios ofrece cliente  100  teletrabajo corto plazo  50  medio plazo contrato indefinido  incorporación octubre  noviembre oportunidad participar proyectos servicios emblemáticos grandes empresas nivel nacional internacional  atractiva proyección desarrollo profesional  planes formación orientados actuales necesidades mercado innovaciones tecnológicas  salario negociable función responsabilidad experiencia  salaro alto  si,2020-10-23,,,,,indeed
operarios sala  mercados financieros,Barcelona,Barcelona,1800,2000,monthly,euro,3 empleos salario ofrecido 1800  2000 € brutos mes categoría administración empresa administrativos  secretariado recepcionistas estúdios mínimos educación secundaria obligatoria experiencia mínima necesaria 0  1 año provincia barcelona fecha publicación 22 octubre 2020 fecha finalización 20 enero 2021 puestos disponibles 6 texto oferta seleccionamos operadores mercados financieros  sociedad inversión europea  sedes españa  madrid  próximamente barcelona  valencia bilbao  independientemente dónde vivas  puedes acceder igualmente trabajo remoto   próximo alarma si cambian cosas  vendrá bien trabajar casa   salario base 1 300 euros  altas comisiones incentivos  personas capacidad números  conocimientos interés economía  finanzas  bolsa  banca  seguridad social derechos  posibilidad real promoción corto plazo  contesta anuncio enviándonos cv actualizado  ningún tipo compromiso ,2020-10-23,,,,,indeed
repair maintenance technician,Madrid provincia,Madrid,,,,euro,like technology  innovative different projects  place  n t know us yet  engineering company works different areas  space  robotics  cyber security  transport big data among many international projects  part repair maintenance team within transport sector  responsible ensuring correct functioning gmv systems board buses  location  voice communication  video surveillance  etc   repairing replacing hw components sw update implementation systems work carried customer site  reason necessary availability work night car  want part team  want position  would like following knowledge experience  electronic electricity office offer  join team culture gmv entering technological innovative projects within multicultural multidisciplinary teams  professional career development training plan  able acquire perfect knowledge technologies use well skills  also offer language learning program  flexible  flexible hours intensive working hours summer months  addition  work home improve work life balance  care well being  private health insurance dental accident insurance  able make part salary flexible flexible salary plan several options restaurant tickets  childcare tickets  medical insurance family member … join team activities  events sports competitions  addition  offer gympass keep active  dress code  comfortable work  coming another country  offer relocation package  want switch  find fruit coffee disposal canteen  promote equal opportunities recruitment company compromised inclusion diversity waiting ,2020-10-23,,,,,indeed
customer success manager  w fr  ,Barcelona,Barcelona,,,,euro,forcemanager leading mobile crm full service webapp created range work styles including home  office field  success solution due user friendly interface  built geolocation features  high user adoption rates  forcemanager headquartered barcelona  spain international offices london  berlin  venice  mexico city  madrid  bogota new york city  100 employees team proudly serves 1 500 customers worldwide  ’ due strong growth forcemanager require customer success manager join team barcelona work national  international accounts  mission customer success team enhance customer adoption  engagement  growth  ideal candidate able understand empathize customer ’ needs also able expand assigned accounts excellent sales skills  customer success manager  act trusted advisor customers helping achieve business value roi investment forcemanager  establish oversee customer adoption  engagement growth  build strategy accounts drive loyalty avoid churn  monitor customer usage data  health indicators  renewal dates growth opportunities translate strategies success  identify growth opportunities ensure expansion within segment  need  passionate customer success  always searching applying new trends  bachelor ’ master ’ degree previous experience working customer success manager b2b saas technical understanding saas concepts strong sales skills upselling cross selling fluency french english  spanish plus  ability prioritize  multitask  perform effectively highly dynamic work environment  ability work remotely within decentralized team  offer  permanent contract attractive professional career based professional experience potential  development entrepreneurial spirit  promoting creativity initiative close relationship leadership team  remote first,2020-10-23,,,,,indeed
¡¡ trabaja casa ahora   tiempo parcial completo 2020,Madrid,Madrid,,,,euro,ofrecemos oportunidad ingresos extras trabajar casa  actividad independiente  flexibilidad horarios  tiempo parcial tiempo completo  equipo plena expansión crecimiento nivel internacional gracias tecnología requiere  ganas aprender ilusión capacidad asumir responsabilidades,2020-10-23,,,,,indeed
perfiles powercenter teradata  madrid,Madrid,Madrid,27000,33000,yearly,euro,perfiles powercenter teradata madrid sotec buscamos 3 perfiles powercenter teradata proyecto estable larga duración cliente sector banca ubicado tablas  funciones  procesos etl análisis  estimación  desarrollo despliegue procesos etl resolución incidencias diseño codificación procesos carga completos origen destino  mappings  workflows  mapplets  etc  gestión tareas requisitos mínimos manejo avanzado powercenter teradata  amplia experiencia procesos etl  experiencia sector banca ofrecemos  proyecto estable  actualmente teletrabajo 100  futura incorporación zona tablas  banda salarial competitiva acorde experiencia aportada  posibilidad seguir formándote  jornada intensiva viernes verano inscribete  queremos conocerte  powercenter  teradata  etl,2020-10-23,,,,,indeed
teletrabajo tiempo parcial completo  redes sociales,,Vizcaya provincia,,,,euro,buscamos emprendedores trabajar tiempo parcial completo  empresa multinacional dedicada sector nutrición bienestar  necesita experiencia dentro sector  ofrecemos formación continua  entrenamientos presencial online  contrato laboral  emprender  bajo coste puesta marcha  requisitos indispensables  buena actitud  gente ser enseñables  dejanos datos mayor información,2020-10-23,,,,,indeed
buscamos 5 personas trabajar casa tiempo parcial completo  ref 0788,Madrid,Madrid,,,,euro,ofrece actividad independiente realizar casa  compatible cualquier actividad académica  familiar profesional  empresa multinacional 30 años experiencia españa  tiempo parcial completo  desarrolla carrera profesional  requiere  capacidad asumir responsabilidades ser mayor edad ganas aprender desarrollarse personal profesionalmente,2020-10-23,,,,,indeed
incorporación inmediata  teletrabajo casa  ref 8814,Toledo,Toledo,,,,euro,ofrece actividad independiente realizar casa  compatible cualquier actividad académica  familiar profesional  empresa multinacional 30 años experiencia españa  tiempo parcial completo  desarrolla carrera profesional  requiere  capacidad asumir responsabilidades ser mayor edad ganas aprender desarrollarse personal profesionalmente,2020-10-23,,,,,indeed
tele trabajo  oportunidad   ref  084,Valencia,Valencia,,,,euro,ofrecemos oportunidad ingresos extras trabajar casa  actividad independiente  flexibilidad horarios  tiempo parcial tiempo completo  equipo plena expansión crecimiento nivel nacional internacional gracias tecnología requiere  ganas aprender ilusión capacidad asumir responsabilidades,2020-10-23,,,,,indeed
teletrabajo jornada parcial completa  sc ,Cúllar,Granada,,,,euro,genera ingresos extras independencia económica casa cualquier lugar  forma actividad independiente  compatible cualquier actividad profesional situación familiar  horarios  tiempo marcas   busco 5 personas serias responsables incorporarse equipo forma inmediata ,2020-10-23,,,,,indeed
marketing  redes sociales teletrabajo ,Valladolid,Valladolid,,,,euro,buscamos emprendedores trabajar tiempo parcial completo  empresa multinacional dedicada sector nutrición bienestar  necesita experiencia dentro sector  ofrecemos formación continua  entrenamientos presencial online  contrato laboral  emprender  bajo coste puesta marcha  requisitos indispensables  buena actitud  gente ser enseñables  dejanos datos mayor información,2020-10-23,,,,,indeed
trabajar casa  map ,Valencia,Valencia,,,,euro,ingresos propia casa  actividad independiente posibilidad realizar casa horarios flexibles  ingresos extras superiores dependiendo dedicación esfuerzo personal  sector desarrollo crecimiento constante  necesaria experiencia previa ,2020-10-23,,,,,indeed
buscamos 5 personas trabajar casa  incorporación inmediata ref22,Valencia,Valencia,,,,euro,ofrecemos oportunidad ingresos extras trabajar casa  actividad independiente  flexibilidad horarios  tiempo parcial tiempo completo  equipo plena expansión crecimiento nivel internacional gracias tecnología requiere  ganas aprender ilusión capacidad asumir responsabilidades,2020-10-23,,,,,indeed
recruiter freelance,Madrid,Madrid,,,,euro,lynx talent buscamos recruiters freelance menos dos años experiencia trabajando buscando perfiles ingeniería  personas seleccionadas  pasaran formar parte proyecto incipiente crecimiento  equipo flexible consultores selección orientados resultados  funciones  difusión web 2 0  búsqueda directa redes sociales profesionales  criba curricular  entrevistas telefónicas entrevistas personal competencias preselección candidatos finalistas  realización informe presentación candidatos finalistas  gestión relación candidatos cierre  ofrecemos  total flexibilidad horaria  trabajo remoto  conciliación real vida personal  retribución función consecución objetivos  posibilidad trabajar candidatos activos bbdd propia empresa  buscamos si menos 2 años experiencia trabajando consultoría selección   perfiles  desarrollo  sistemas  big data  etc perfiles ingeniería microsoft office linkedin criba curricular  entrevistas personal competencias realización informes capacidad aprendizaje  proactividad  excelentes capacidades comunicativas  nivel oral escrito  clara orientación resultados valoramos  buscamos si además cuentas experiencia  talent clue linkedin premium redes sociales,2020-10-23,,,,,indeed
social media strategist,Barcelona,Barcelona,,,,euro,descripción  nota  valoraremos candidaturas vigo barcelona  elogia agencia marketing digital  primera agencia española especializada digital commerce marketing 1999 agencia 100  digital ayudado generar decenas millones euros facturación clientes  agencia marketing digital  apuestas fundamentales resultados innovación  equipo compuesto 80 profesionales conocimiento especializado cada áreas posibles marketing online  sem  seo  display  anuncios sociales  email marketing  social media  mobile marketing crm  todas especialidades bajo servicios market intelligence  corporate labs  consultoría estrategia digital   paid media content marketing repartidos oficinas barcelona  madrid  vigo ciudad méxico  además  orgullosos formar parte primer grupo  viko  especializado digital commerce marketing  ¿quieres embarcarte gran proyecto verlo crecer  ¿te emocionan retos alguien espíritu emprendedor  proactiva  positiva divierte trabajando  ¿te consideras apasionado marketing digital  ¿estás dispuesto luchar ser verdadero partner clientes  ¿crees trabajo equipo gusta fomenten respeto transparencia  ¿cuentas gran vocación servicio orientación resultados  si contestado todas preguntas  ¡¡te buscando   buscamos un a social media strategist 2 años experiencia llevar cabo gestión clientes proyectos relacionados creación gestión estrategias contenidos redes sociales  blogs  comunidades notas prensa  etc  día día podrás  adaptar contenidos  mensajes productos peculiaridades cada cliente conocimiento particularidades cada red social tipos usuarios  buyer persona  elaborar propuestas  presentarlas gestionar clientes participar reuniones definición estrategias campañas marketing conocer estrategias captación redes sociales realizar seguimiento coordinación campañas realización informes  ello necesitamos orientación,2020-10-23,,,,,indeed
administrativo a atención empleado 11 00h 19 30h,Barcelona,Barcelona,26.5,,hourly,euro,requisitos experiencia oficina  realizando trabajos administrativos valorable tener cfgs diplomatura excelente trato público descripción importante consultoría ubicada cerca sants estació necesita persona atención empleado  resolviendo dudas empleados compañía  concertación revisiones médicas  tarjetas empleados  convocatorias formación  etc  contrato 03 11 2020 20 11 2020 horario partido 11 00 19 30h  media hora comida  salario  7 39 euros brutos hora  ubicación  cerca estación tren sants  actualmente realiza teletrabajo ,2020-10-23,,,,,indeed
profesor online derecho  ciencias jurídicas,Madrid,Madrid,,,,euro,academia universitaria online buscamos profesores redactores formación derecho colaborar determinados proyectos  buscamos cubrir varios perfiles área conocimiento incorporen plantilla ofreceremos proyectos relacionados formación  interesados duden adjuntar cv  tipo puesto  jornada completa  media jornada  autónomo  comisión experiencia  profesor  1 año  requisito deseable  educación  diplomatura grado  requisito deseable  ubicación  madrid  madrid provincia  requisito deseable  fecha incorporación  30 días  requisito deseable  nivel inglés  títulación puedo expresarme entender idioma  requisito deseable  trabajar casa ,2020-10-23,,,,,indeed
country manager spain,,En remoto,,,,euro,domestika looking country manager spain help strengthen drive spanish operations  country manager spain  responsible leading domestika spanish operations growth  working key teams across organization drive operational excellence grow domestika brand spain  domestika one largest growing communities within creative industry  started small dynamic showcase creative professionals  designed help connect learn  years later  born core value  domestika widened reach designing producing online courses want learn improve professionally best teachers  community grown 4 million people constantly curious passionate learning new skills  company based san francisco  california  team distributed 10 countries  domestika support one relevant funds silicon valley  usa   country manager spain domestika  face domestika dealings local partners creative community spain  build lead local team spain focusing building brand spain  within creative community within target customer groups  ensure smooth cross functional working relationship global teams drive growth domestika spain action plans  kpis  reporting systems  lead development strategic partnerships drive brand awareness  support creative community  well members  identifying external partners potential accelerate company growth  oversee health spanish p  l  well kpis across teams supporting spain  requirements  minimum 5 years experience building leading teams  strong academic background  ba bs degree equivalent  mba top school plus  entrepreneurial track record within digital media  internet consumer business  ideally general manager managing fast paced  fast growth company start up  excellent organizational  planning problem solving skills  ability manage prioritize multiple,2020-10-23,,,,,indeed
electrical engineer  space industry,Barcelona,Barcelona,,,,euro, high tech engineering company  committed design  integration operation complex mission critical applications systems throughout world  carry turnkey projects clients  developing state of the art systems space  aerospace  energy scientific facilities industries  find information us video  https  vimeo com 149636682 role  looking electrical engineer join teams develop systems space industry barcelona hq  join team responsible renewal control bench families a6 launcher  control system acquisition system  contribute whole life cycle system development  responsibilities  design system functional technical requirements  required  given system requirements initial solution  analysis proposal best suitable technical solution  architecture design  material suppliers selection  available existing solutions   agreement client  implementation detailed solution  involved following task  design electrical engineering including electrical drawing  instrument components selection  coding plcs  test validation  installation validation platforms  verification validation system  firstly quality department client fat  factory acceptance test  commissioning system sat  site acceptance test   training maintenance teams necessary  whole process  involved writing technical documentation including user manuals  offer  participate highly advanced technological projects around world  part young dynamic company flexible working hours  ‘ work home ’ week excellent location bcn hq ticket restaurant free fruit office  training plan flexible compensation plan according needs committed equal employment opportunity regardless race  color  ancestry  religion  sex  national origin  sexual orientation  age  citizenship  marital status  disability  etc,2020-10-23,,,,,indeed
teletrabajo  teleoperador a comercial sector energético 06112020,San Juan de Aznalfarache,Sevilla,,,,euro,seleccionando  buscamos teleoperadores  comerciales importante multinacional contact center  ubicado san juan aznalfarache  sevilla  ¿eres  super talento ventas  ¿eres brillante  excelentes dotes comunicación meta trabajar extraordinaria empresa multinacional  ¿quieres ser parte equipo realmente hace vida personas fácil  misión crear experiencia cliente top   aquí  transcom  queremos ofrecer clientes mejores productos servicios mercado  trabajo diario implicará comunicación clientes entender necesidades  sugiriendo cambios trabajando satisfacer necesidades  si  buen  comercial orientado objetivos gustan desafíos   puede interesar  puede ser puesto buena oportunidad demostrar valía  trabajarás ambiente trabajo joven motivador grandes oportunidades trabajo  proporcionaremos formación inicial  acompañaremos haremos seguimiento desarrollo  sólo necesitamos compromiso energía aprender  ¡necesitamos 50 agentes comerciales telefónicos  ¿qué ofrecemos  proyecto estable  requiere previa formación producto  7 días hábiles  teleformación  bonus aprendizaje consolidación conocimientos  explicará entrevista  trabajar ambiente internacional  dinámico motivador dentro empresa certificada top employer  transcom empresa comprometida igualdad oportunidades hombres mujeres  condiciones laborales  convenio contact center  contratación estable continuidad contrato origen 30 horas semanales  ampliación 35 39horas   salario fijo estipulado convenio  ejm 30h semanales 890€ brutos mensuales   incentivos mensuales turno lunes viernes horario tarde  trabajar ambiente internacional  dinámico motivador dentro empresa certificada top employer  plan retribución flexible  tarjeta comida  tarjeta transporte  seguro médico  ticket guardería  club descuento empleados  transcom cares  actividades sociales  orgullosos decir,2020-10-23,,,,,indeed
tramitador a siniestros zona gran vía,Madrid,Madrid,51.5,,hourly,euro,grupo adecco buscamos tramitadores as siniestros importante aseguradora ubicada gran vía requisitos jornada disponible  l v 16 10 00 00 horas contrato 3 meses adecco  pase plantilla formación inicial dentro contrato manera presencial oficina gran vía  después haría teletrabajo  salario 7 89  plus nocturnidad partir 23 00 responsabilidades funciones  atención clientes apertura siniestros hogar  comercio  comunidades decesos,2020-10-23,,,,,indeed
auxiliar administrativo a activo bancarios,Valencia,Valencia,,,,euro,adecco outsourcing empresa comprometida igualdad perteneciente adecco group especializada externalización servicios cuyo valor añadido recursos humanos  si buscas empleo sector bancario jornada completa  experiencia administración productos activos bancarios ¡échale vistazo oferta  trata puesto auxiliar administrativo a back office empresas consolidadas dentro sector bancario  horario  preocupes  trabajarás lunes viernes horario  8 17 horas lunes jueves viernes 15 h perfecto compaginar vida laboral personal  disponibilidad trabajar festivos locales autonómicos caso necesidad   contrato obra servicio proyecto aproximadamente 3 meses duración  preocuparte desplazamiento instalaciones  trata modalidad teletrabajo forma temporal causa covid 19  pueda regresar trabajar oficinas ubicadas valencia capital  además  recibirás formación online poder realizar trabajo resolver todas dudas puedas tener resumen  si disponibilidad inmediata  experiencia banca gestionando activos bancarios buscas empleo jornada completa  ¡no dudes inscriíbete  requisitos ¿qué necesitas desarrollar puesto  formación superior universitaria economía  ade similar disponibilidad inmediata nivel avanzado excel  conocimientos productos bancarios  especialmente activo  así contratos  extractos documentos bancarios  escrituras  notas simples    experiencia sector financiero  bancario flexibilidad horaria disponer cable red internet domicilio valorará conocimiento valenciano catalán responsabilidades tarea consiste derivadas administración productos activo bancarios  especialmente préstamos créditos hipotecarios  manejo aplicaciones propias terceros  revisión análisis documentación asociada  minutas hipotecarias  notas simples  tasaciones  interacción entidades  tasadoras  registro propiedad  etc  mediante email teléfono tareas conciliación contable  cuadros amortización  liquidaciones facturaciones,2020-10-23,,,,,indeed
rbs credit collection francés,Sant Cugat del Vallès,Barcelona,,,,euro,change job  change workplace  change future  ricoh transforma negocios imaginación  claridad visión  gusta llamarlo  imagine change  equipos abrazan cambio  redescubriendo nuevas formas trabajar nunca sido tan resolutivos misión  youtransformricoh  80 años experiencia  ricoh nació tokyo  japón  actualmente distribuidos globo 200 regiones  comprometidos necesidades cliente enfoque basado conocimiento negocio través tres ofertas estratégicas bajo paraguas transformación digital  digital workplace  digital services marketing services  ¿qué buscamos  collector incorporarás equipo credit collections ricoh business service gestionar cobro deuda superiores 180 días  ¿qué necesitarás  francés nativo valorará experiencia recaudación deuda ¿qué ofrecemos  seguro preguntando beneficios podemos ofrecerte  ricoh lugar excepcional trabajo gracias equipo enfocado innovar  revolucionar digitalizar lugar trabajo contrato inicial 6 meses  get friend  conviértete embajador ricoh benefíciate trayendo amigos programas desarrollo internos  bamboo  plataformas digitales  etc   pistas pádel  junto campeonatos internos  ¡entrénate   equipos running futbol teletrabajo ricoh flex  beneficios sociales tickets restaurant  guardería  transporte  etc  descuentos menú equipos voluntariado programas sociales  ricoh voluntariado  ricoh club  benefíciate descuentos productos servicios,2020-10-23,,,,,indeed
